seller_id,seller_city,Total order ,sumprice, average price / city 
7178f9f4dd81dcef02f62acdf8151e01,videira,216,37070.4000000001,171.622222222223
c70c1b0d8ca86052f45a432a38b73958,hortolandia,338,36537.3699999999,108.098727810651
59417c56835dd8e2e72f91f809cd4092,limeira,18,36459.0,2025.5
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,405,36408.9500000002,89.8986419753091
7299e27ed73d2ad986de7f7c77d919fa,araguari,361,34725.4300000001,96.1923268698064
e9bc59e7b60fc3063eb2290deda4cced,maringa,269,34343.0600000001,127.66936802974
dbc22125167c298ef99da25668e1011f,borda da mata,429,33776.7800000002,78.7337529137534
9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,206,33702.7800000001,163.60572815534
76d5af76d0271110f9af36c92573f765,sao paulo,159,33461.6,210.450314465409
1835b56ce799e6a4dc4eddc053f04066,ibitinga,558,33344.2100000003,59.7566487455202
5c243662ce92d84573bfaff24c3e3700,sao paulo,100,32862.0200000001,328.620200000001
2528513dd95219a6013d4d05176e391a,osasco,167,32689.1,195.743113772455
855668e0971d4dfd7bef1b6a4133b41b,itatiba,327,32208.1600000001,98.4959021406729
70eea00b476a314817cefde4aad4f89a,itatiba,114,31994.65,280.654824561404
7681ef142fd2c19048da7430856b5588,guarulhos,77,31941.81,414.828701298701
e59aa562b9f8076dd550fcddf0e73491,curitiba,84,31574.3,375.884523809524
88460e8ebdecbfecb5f9601833981930,maringa,302,31546.5500000002,104.458774834438
0241d4d5d36f10f80c644447315af0bd,curitiba,246,31397.7000000001,127.632926829269
87142160b41353c4e5fca2360caf6f92,porto alegre,339,31095.9800000001,91.7285545722716
70a12e78e608ac31179aea7f8422044b,jacarei,328,30858.53,94.0808841463415
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,522,30148.9500000001,57.7566091954025
d23019c84ffae2d5ef2270367b8605fc,londrina,39,29205.1,748.848717948718
900ba814c251a692506d7834c1218441,salto,88,29099.69,330.678295454545
1554a68530182680ad5c8b042c3ab563,monte siao,269,29052.5300000001,108.001970260223
0b90b6df587eb83608a64ea8b390cf07,maringa,210,28592.32,136.153904761905
7e1fb0a3ebfb01ffb3a7dae98bf3238d,franca,174,27349.53,157.181206896552
59b22a78efb79a4797979612b885db36,uberlandia,133,27184.5,204.394736842105
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,240,26942.6000000001,112.260833333334
b32be1695eb7ec5f10f72d9610a12527,caxias do sul,46,26874.0,584.217391304348
12b9676b00f60f3b700e83af21824c0e,montenegro,135,26774.0,198.325925925926
a3a38f4affed601eb87a97788c949667,joinville,263,26533.3200000001,100.887148288974
de23c3b98a88888289c6f5cc1209054a,sao paulo,181,26399.6700000001,145.854530386741
9f505651f4a6abe901a56cdc21508025,sao paulo,430,26361.8200000001,61.3065581395352
16090f2ca825584b5a147ab24aa30c86,atibaia,410,25716.4400000001,62.7230243902442
a416b6a846a11724393025641d4edd5e,sao paulo,181,25670.72,141.827182320442
b94cc9f10ddc85e4ba73a6f7974e7101,macae,39,25346.1,649.9
c003204e1ab016dfa150abc119207b24,cajamar,202,25108.0900000001,124.297475247525
001cca7ae9ae17fb1caed9dfb1094831,cariacica,239,25080.03,104.937364016736
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,529,24982.5300000001,47.2259546313802
1c68394e931a64f90ea236c5ea590300,sarandi,171,24832.75,145.220760233918
b1b3948701c5c72445495bd161b83a4c,sao paulo,18,24699.19,1372.17722222222
f62d7bb4a613ec758a03342d46b580b2,vicosa,32,24665.0,770.78125
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,249,24180.7700000001,97.1115261044179
b37c4c02bda3161a7546a4e6d222d5b2,sao paulo,15,24075.0,1605.0
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,142,23979.11,168.866971830986
2b3e4a2a3ea8e01938cabda2a3e5cc79,sao paulo,54,23629.15,437.576851851852
1a3df491d1c4f1589fc2b934ada68bf2,joinville,178,23302.7,130.91404494382
40db9e9aa57f7bb151bcda6b0f9bdbb7,recife,12,23168.0,1930.66666666667
612170e34b97004b3ba37eae81836b4c,novo hamburgo,110,23065.02,209.682
897060da8b9a21f655304d50fd935913,ribeirao preto,430,23023.92,53.544
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,109,22873.21,209.845963302753
7b0df942f46435babab05d49b744b2c4,braganca paulista,32,22600.63,706.2696875
7ad32824caee82087b3e2e5f33b1bf32,ibitinga,184,22505.1,122.310326086957
744dac408745240a2c2528fb1b6028f3,colombo,84,22490.6,267.745238095238
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,95,22188.56,233.563789473684
f45122a9ab94eb4f3f8953578bc0c560,piracicaba,200,22078.29,110.39145
05ff92fedb5be47920fea08e501238b9,santo angelo,62,21992.78,354.722258064516
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,sao paulo,20,21940.8,1097.04
8f2ce03f928b567e3d56181ae20ae952,pirituba,175,21712.9,124.073714285714
59fb871bf6f4522a87ba567b42dafecf,sao paulo,128,21708.57,169.598203125
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,631,21223.9200000001,33.6353724247228
48162d548f5b1b11b9d29d1e01f75a61,piracicaba,91,20510.14,225.386153846154
729f06993dac8e860d4f02d7088ca48a,limeira,115,20485.08,178.131130434783
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,172,20260.0,117.790697674419
bfd27a966d91cfaafdb25d076585f0da,serra negra,118,19921.0,168.822033898305
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,170,19712.71,115.957117647059
d650b663c3b5f6fb392b6326366efa9a,cotia,60,19242.9,320.715
821fb029fc6e495ca4f08a35d51e53a5,sao paulo,29,19187.42,661.635172413793
f457c46070d02cadd8a68551231220dd,maringa,234,19093.0,81.5940170940171
2a5b78b41cd05baeac8df54c6606b92c,formiga,60,19025.36,317.089333333334
dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,58,18988.4,327.386206896552
96493fab2fbb13a14d0c0e8772eef5c3,sao paulo,64,18969.0,296.390625
44073f8b7e41514de3b7815dd0237f4f,brasilia,153,18729.64,122.415947712418
cd68562d3f44870c08922d380acae552,ribeirao preto,132,18569.7,140.679545454545
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,193,18446.92,95.579896373057
527801b552d0077ffd170872eb49683b,garca,92,17942.8,195.030434782609
a888faf2d1baececa6baf9c3d603ee1f,umuarama,55,17765.8,323.014545454545
9de4643a8dbde634fe55621059d92273,joinville,81,17560.34,216.794320987654
8b321bb669392f5163d04c59e235e066,sao paulo,1018,17535.6899999999,17.2256286836934
c72de06d72748d1a0dfb2125be43ba63,guanambi,22,17522.0,796.454545454546
165fc07beebdcb6190fba8a06db2a449,maringa,64,17481.4,273.146875
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,220,17348.79,78.8581363636362
1e8b33f18b4f7598d87f5cbee2282cc2,sao paulo,140,17309.06,123.636142857143
94144541854e298c2d976cb893b81343,viamao,76,17286.28,227.451052631579
54a1852d1b8f10312c55e906355666ee,santa barbara d'oeste,204,17226.44,84.4433333333332
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,50,17159.0,343.18
41b39e28db005d9731d9d485a83b4c38,santo andre,231,17112.55,74.0803030303029
4a3ccda38b2129705f3fb522db62ca31,marilia,78,17062.59,218.751153846154
76d64c4aca3a7baf218bf93ef7fa768d,curitiba,69,16911.8,245.098550724637
c3acdfac4e3e97ff87529454fbc03642,sao paulo,12,16788.0,1399.0
86ccac0b835037332a596a33b6949ee1,blumenau,210,16619.93,79.1425238095237
8ae520247981aa06bc94abddf5f46d34,navegantes,65,16320.99,251.092153846154
7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,240,16234.81,67.6450416666665
ef0ace09169ac090589d85746e3e036f,sao goncalo,140,16223.3,115.880714285714
fa40cc5b934574b62717c68f3d678b6d,sao paulo,340,16055.8699999999,47.2231470588233
1f1bb1f0859883505541bdd6606193e5,sao paulo,29,16040.84,553.132413793103
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,142,15960.95,112.401056338028
4b9750c8ad28220fe6702d4ecb7c898f,limeira,222,15915.3,71.6905405405403
2a84855fd20af891be03bc5924d2b453,belo horizonte,168,15819.1,94.1613095238093
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,148,15744.0,106.378378378378
f9244d45189d3a3605499abddeade7d5,sao paulo,21,15731.43,749.115714285714
d921b68bf747894be13a97ae52b0f386,formiga,77,15645.8,203.192207792208
6061155addc1e54b4cfb51c1c2a32ad8,campinas,33,15633.4,473.739393939394
c33847515fa6305ce6feb1e818569f13,brusque,128,15519.85,121.248828125
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,522,15415.2399999999,29.5311111111109
213b25e6f54661939f11710a6fddb871,salto,194,15379.5,79.2757731958763
e5a38146df062edaf55c38afa99e42dc,sao paulo,125,15360.07,122.88056
c847e075301870dd144a116762eaff9a,uberaba,43,15348.7,356.946511627907
ce248b21cb2adc36282ede306b7660e5,jaragua do sul,66,15230.06,230.758484848485
79ebd9a61bac3eaf882805ed4ecfa12a,cascavel,143,15092.79,105.543986013986
75d34ebb1bd0bd7dde40dd507b8169c3,salvador,72,15048.28,209.003888888889
e2a1ac9bf33e5549a2a4f834e70df2f8,sao paulo,5,14999.45,2999.89
01fdefa7697d26ad920e9e0346d4bd1b,londrina,131,14921.43,113.904045801526
1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,117,14760.3,126.15641025641
a5cba26a62b8b4d0145b68b841e62e7f,campo mourao,55,14737.84,267.960727272727
87b740daf17b5d1be335a64164ec6842,suzano,13,14699.87,1130.75923076923
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,346,14592.2699999999,42.1741907514449
080199a181c46c657dc5aa235411be3b,osasco,83,14504.2,174.749397590361
8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,130,14497.27,111.517461538461
cf8ab1616079e2793aa29d524df01bb1,sao paulo,9,14391.0,1599.0
5cf13accae3222c70a9cac40818ae839,patos de minas,156,14383.2,92.1999999999999
a6bd7d1ccdac48c6b33b28596b7eb122,mamanguape,16,14368.61,898.038125
66922902710d126a0e7d26b0e3805106,belo horizonte,156,14362.3,92.0660256410256
